# generated by novarocks-error-manifest; do not edit.
schema_version=1
code	phase
sql.admit.create_table_unsupported_form	Admit
sql.admit.delete_requires_where	Admit
sql.admit.delete_unsupported_form	Admit
sql.admit.insert_unsupported_form	Admit
sql.admit.kill_connection_unsupported	Admit
sql.admit.kill_denied	Admit
sql.admit.merge_unsupported_form	Admit
sql.admit.session_global_scope_unsupported	Admit
sql.admit.session_transaction_unsupported	Admit
sql.admit.update_unsupported_form	Admit
sql.analyze.internal	Analyze
sql.analyze.invalid_argument	Analyze
sql.analyze.invalid_literal	Analyze
sql.analyze.invalid_query_shape	Analyze
sql.analyze.type_mismatch	Analyze
sql.analyze.unknown_column	Analyze
sql.analyze.unknown_function	Analyze
sql.analyze.unknown_table	Analyze
sql.analyze.unsupported_expression	Analyze
sql.analyze.unsupported_query_shape	Analyze
sql.lex.unexpected_character	Lex
sql.lex.unterminated_comment	Lex
sql.lex.unterminated_quoted_identifier	Lex
sql.lex.unterminated_string	Lex
sql.parse.unexpected_token	Parse
sql.parse.unsupported_statement	Parse
sql.validate.duplicate_cte_name	Validate
sql.validate.duplicate_window_name	Validate
sql.validate.invalid_structure	Validate
sql.validate.invalid_window_frame_bounds	Validate
